dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,prediction,confidence
8.92129111289978,tcp,-,ACC,5,0,239,0,26.789844314621334,52,64,214.31875451697067,0.0,0,0,2230.322778224945,0.0,3856.090996733202,0.0,0,0,0,0,0.0,0.0,0.0,47.8,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0.03515625
8.91213607788086,tcp,https,ACC,4,0,160,0,17.953047238260417,128,64,143.62437790608334,0.0,0,0,2970.7120259602866,0.0,4199.228671907983,0.0,0,0,0,0,0.0,0.0,0.0,40.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.5
0.0,tcp,https,ACC,1,0,41,0,0.0,128,64,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.5
0.0,tcp,-,ACC,1,0,52,0,0.0,52,64,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0.03515625
15.027551889419556,udp,-,-,2,0,223,0,14.839409748237673,53,64,118.71527798590138,0.0,0,0,15027.551889419556,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,111.5,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0.0078125
14.997671127319336,udp,https,-,2,0,118,0,7.867888220662108,128,64,62.94310576529686,0.0,0,0,14997.671127319336,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,59.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0.1640625
0.0,tcp,-,ACC,1,0,41,0,0.0,128,64,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.5
0.0,tcp,-,ACC,1,0,52,0,0.0,113,64,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.5
0.013983964920043945,tcp,-,ACC,2,0,110,0,7866.152455969856,52,64,62929.21964775885,0.0,0,0,13.983964920043945,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,55.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0.03515625
0.0,tcp,https,ACC,1,0,68,0,0.0,128,64,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,68.0,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.5
0.09966397285461426,tcp,dns,ACC,7,0,326,0,3270.9914190913855,128,64,26167.931352731084,0.0,0,0,16.61066214243571,0.0,23.668828001662643,0.0,0,0,0,0,0.0,0.0,0.0,46.57142857142857,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.9921875
0.09836602210998535,tcp,dns,ACC,7,0,326,0,3314.1525194084984,128,64,26513.220155267987,0.0,0,0,16.39433701833089,0.0,23.574697205187423,0.0,0,0,0,0,0.0,0.0,0.0,46.57142857142857,0.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Attack,0.9921875
